Check,CustomFilter,MatchFinder,bt2,bt3,bt4,crc32,crc64,hc3,hc4,none,sha256,Depth,Dict,MemoryLimit,Nice,e,S,U,M,t,K,D,p,X,Z,I,O,r,s,k
1,1,1,0,0,0,0,0,1,0,1,0,533,24576000,2653257728,162,11.93,0.05,11.0,31476,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,0,0,1,0,1,0,825,25755648,711622656,217,30.52,0.08,18.13,31472,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,0,0,1,0,1,0,307,66650112,3958800384,59,8.44,0.09,7.57,31472,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,0,0,0,1,0,1,0,0,0,533,24576000,2653257728,162,13.23,0.16,11.78,31476,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,1,0,1,0,0,0,825,25755648,711622656,217,16.87,0.15,15.35,31472,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,1,0,1,0,0,0,307,66650112,3958800384,59,8.33,0.08,7.27,31472,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,0,0,0,0,1,1,0,0,0,533,24576000,2653257728,162,12.02,0.13,10.92,31480,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,0,1,1,0,0,0,825,25755648,711622656,217,16.43,0.06,14.53,31476,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,0,1,1,0,0,0,307,66650112,3958800384,59,9.77,0.05,7.1,31476,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,0,0,0,0,0,1,0,0,1,533,24576000,2653257728,162,13.34,0.07,10.73,31472,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,0,0,1,0,0,1,825,25755648,711622656,217,22.37,0.11,15.21,31472,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,0,0,1,0,0,1,307,66650112,3958800384,59,8.22,0.07,6.98,31472,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,0,0,0,0,0,0,1,1,0,533,24576000,2653257728,162,8.21,0.06,7.16,78128,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,0,0,0,1,1,0,825,25755648,711622656,217,12.13,0.14,9.54,78124,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,0,0,0,0,0,1,1,0,307,66650112,3958800384,59,6.23,0.06,5.52,78128,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,1,0,0,1,0,0,533,24576000,2653257728,162,12.66,0.09,7.95,78128,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,1,0,0,1,0,0,825,25755648,711622656,217,13.58,0.07,9.71,78128,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,0,0,1,0,0,1,0,0,307,66650112,3958800384,59,5.52,0.07,5.17,78124,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,1,0,0,0,0,0,0,1,0,533,24576000,2653257728,162,7.92,0.05,3.67,26388,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,1,0,0,0,0,0,0,1,0,825,25755648,711622656,217,4.59,0.03,4.36,26388,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,1,0,0,0,0,0,0,1,0,307,66650112,3958800384,59,2.91,0.03,2.68,26384,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,1,0,0,1,0,0,0,0,0,533,24576000,2653257728,162,4.36,0.04,3.58,26384,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,1,0,0,1,0,0,0,0,0,825,25755648,711622656,217,4.73,0.03,4.39,26384,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,1,0,0,1,0,0,0,0,0,307,66650112,3958800384,59,6.25,0.02,2.86,26388,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,0,1,0,0,0,0,0,1,0,533,24576000,2653257728,162,4.99,0.03,3.11,42512,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,1,0,0,0,0,0,1,0,825,25755648,711622656,217,4.33,0.03,3.83,42508,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,1,0,0,0,0,0,1,0,307,66650112,3958800384,59,6.13,0.04,2.56,42512,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,1,0,1,0,0,0,0,0,533,24576000,2653257728,162,3.24,0.03,3.02,42512,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,1,0,1,0,0,0,0,0,825,25755648,711622656,217,4.18,0.03,3.82,42508,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,1,0,1,0,0,0,0,0,307,66650112,3958800384,59,5.26,0.03,2.47,42508,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,1,0,0,0,0,1,0,533,24576000,2653257728,162,5.74,0.07,2.66,89164,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,0,1,0,0,0,0,1,0,825,25755648,711622656,217,6.73,0.07,3.14,89160,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,0,1,0,0,0,0,1,0,307,66650112,3958800384,59,4.61,0.06,2.1,89164,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,0,0,1,1,0,0,0,0,0,533,24576000,2653257728,162,5.66,0.06,2.65,89164,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,0,1,1,0,0,0,0,0,825,25755648,711622656,217,3.43,0.08,3.05,89164,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,0,1,1,0,0,0,0,0,307,66650112,3958800384,59,2.24,0.07,2.0,89164,0,0,0,0,0,4096,0,960,0,0,0
