Check,CustomFilter,MatchFinder,bt2,bt3,bt4,crc32,crc64,hc3,hc4,none,sha256,Depth,Dict,MemoryLimit,Nice,e,S,U,M,t,K,D,p,X,Z,I,O,r,s,k
1,1,1,0,0,0,0,0,1,0,1,0,533,24576000,2653257728,162,16.23,0.05,11.74,31472,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,0,0,0,0,0,1,0,1,0,825,25755648,711622656,217,17.59,0.07,14.68,31472,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,0,0,1,0,1,0,307,66650112,3958800384,59,11.52,0.04,7.6,31476,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,0,0,0,1,0,1,0,0,0,533,24576000,2653257728,162,14.58,0.03,11.68,31476,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,1,0,1,0,0,0,825,25755648,711622656,217,24.32,0.05,15.82,31476,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,1,0,1,0,0,0,307,66650112,3958800384,59,18.39,0.11,8.72,31472,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,0,0,0,0,1,1,0,0,0,533,24576000,2653257728,162,13.42,0.05,11.41,31476,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,0,1,1,0,0,0,825,25755648,711622656,217,22.39,0.05,15.32,31480,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,0,1,1,0,0,0,307,66650112,3958800384,59,18.67,0.04,8.88,31476,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,0,0,0,0,0,1,0,0,1,533,24576000,2653257728,162,11.92,0.05,10.81,31476,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,0,0,1,0,0,1,825,25755648,711622656,217,16.06,0.15,15.1,31476,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,0,0,1,0,0,1,307,66650112,3958800384,59,17.46,0.04,8.47,31476,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,0,0,0,0,0,0,1,1,0,533,24576000,2653257728,162,11.3,0.08,7.24,78124,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,0,0,0,1,1,0,825,25755648,711622656,217,14.39,0.07,9.48,78128,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,0,0,0,0,0,1,1,0,307,66650112,3958800384,59,6.86,0.06,5.21,78128,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,1,0,0,1,0,0,533,24576000,2653257728,162,7.72,0.06,7.11,78128,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,1,0,0,1,0,0,825,25755648,711622656,217,9.52,0.11,9.01,78124,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,0,0,1,0,0,1,0,0,307,66650112,3958800384,59,10.98,0.06,6.14,78128,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,1,0,0,0,0,0,0,1,0,533,24576000,2653257728,162,4.27,0.03,3.53,26388,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,1,0,0,0,0,0,0,1,0,825,25755648,711622656,217,4.56,0.02,4.36,26384,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,1,0,0,0,0,0,0,1,0,307,66650112,3958800384,59,2.77,0.02,2.63,26384,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,1,0,0,1,0,0,0,0,0,533,24576000,2653257728,162,5.02,0.03,3.52,26388,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,1,0,0,1,0,0,0,0,0,825,25755648,711622656,217,9.39,0.02,4.53,26384,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,1,0,0,1,0,0,0,0,0,307,66650112,3958800384,59,4.92,0.03,2.73,26388,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,0,1,0,0,0,0,0,1,0,533,24576000,2653257728,162,4.46,0.05,3.0,42508,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,1,0,0,0,0,0,1,0,825,25755648,711622656,217,8.32,0.03,3.99,42508,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,1,0,0,0,0,0,1,0,307,66650112,3958800384,59,3.7,0.04,2.35,42512,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,1,0,1,0,0,0,0,0,533,24576000,2653257728,162,5.84,0.03,3.19,42508,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,1,0,1,0,0,0,0,0,825,25755648,711622656,217,4.52,0.04,3.8,42508,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,1,0,1,0,0,0,0,0,307,66650112,3958800384,59,4.33,0.03,2.39,42512,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,1,0,0,0,0,1,0,533,24576000,2653257728,162,5.62,0.08,2.57,89160,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,0,1,0,0,0,0,1,0,825,25755648,711622656,217,3.28,0.06,2.96,89164,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,0,1,0,0,0,0,1,0,307,66650112,3958800384,59,2.05,0.06,1.85,89160,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,0,0,1,1,0,0,0,0,0,533,24576000,2653257728,162,2.64,0.06,2.43,89160,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,0,1,1,0,0,0,0,0,825,25755648,711622656,217,6.65,0.05,3.17,89164,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,0,1,1,0,0,0,0,0,307,66650112,3958800384,59,2.18,0.06,1.93,89160,0,0,0,0,0,4096,0,960,0,0,0
