Check,CustomFilter,MatchFinder,bt2,bt3,bt4,crc32,crc64,hc3,hc4,none,sha256,Depth,Dict,MemoryLimit,Nice,e,S,U,M,t,K,D,p,X,Z,I,O,r,s,k
1,1,1,0,0,0,0,0,1,0,1,0,533,24576000,2653257728,162,17.32,0.12,12.1,31476,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,0,0,1,0,1,0,825,25755648,711622656,217,18.09,0.07,15.32,31472,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,0,0,1,0,1,0,307,66650112,3958800384,59,8.28,0.04,7.28,31472,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,0,0,0,1,0,1,0,0,0,533,24576000,2653257728,162,13.72,0.06,11.48,31476,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,1,0,1,0,0,0,825,25755648,711622656,217,16.14,0.05,15.14,31472,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,1,0,1,0,0,0,307,66650112,3958800384,59,18.76,0.09,8.72,31472,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,0,0,0,0,1,1,0,0,0,533,24576000,2653257728,162,13.08,0.03,10.96,31476,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,0,1,1,0,0,0,825,25755648,711622656,217,25.53,0.05,15.76,31480,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,0,1,1,0,0,0,307,66650112,3958800384,59,7.58,0.03,7.32,31476,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,0,0,0,0,0,1,0,0,1,533,24576000,2653257728,162,23.4,0.08,13.11,31476,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,0,0,1,0,0,1,825,25755648,711622656,217,16.32,0.05,15.07,31472,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,0,0,1,0,0,1,307,66650112,3958800384,59,7.34,0.02,7.12,31476,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,0,0,0,0,0,0,1,1,0,533,24576000,2653257728,162,9.33,0.11,7.63,78124,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,0,0,0,1,1,0,825,25755648,711622656,217,15.45,0.07,10.4,78128,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,0,0,0,0,0,1,1,0,307,66650112,3958800384,59,6.61,0.07,5.57,78128,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,1,0,0,1,0,0,533,24576000,2653257728,162,8.58,0.07,7.68,78128,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,0,1,0,0,1,0,0,825,25755648,711622656,217,11.32,0.06,9.93,78128,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,0,0,1,0,0,1,0,0,307,66650112,3958800384,59,5.55,0.06,5.32,78128,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,1,0,0,0,0,0,0,1,0,533,24576000,2653257728,162,3.99,0.02,3.51,26384,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,1,0,0,0,0,0,0,1,0,825,25755648,711622656,217,4.66,0.02,4.43,26384,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,1,0,0,0,0,0,0,1,0,307,66650112,3958800384,59,3.35,0.02,2.73,26388,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,1,0,0,1,0,0,0,0,0,533,24576000,2653257728,162,7.79,0.02,3.76,26388,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,1,0,0,1,0,0,0,0,0,825,25755648,711622656,217,13.27,0.02,4.72,26384,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,1,0,0,1,0,0,0,0,0,307,66650112,3958800384,59,2.86,0.02,2.69,26384,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,0,1,0,0,0,0,0,1,0,533,24576000,2653257728,162,4.07,0.08,3.1,42512,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,1,0,0,0,0,0,1,0,825,25755648,711622656,217,4.01,0.04,3.78,42508,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,1,0,0,0,0,0,1,0,307,66650112,3958800384,59,2.48,0.03,2.35,42508,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,1,0,1,0,0,0,0,0,533,24576000,2653257728,162,3.88,0.03,3.09,42512,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,1,0,1,0,0,0,0,0,825,25755648,711622656,217,4.34,0.04,3.85,42512,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,1,0,1,0,0,0,0,0,307,66650112,3958800384,59,2.59,0.03,2.33,42508,0,0,0,0,0,4096,0,952,0,0,0
1,1,1,0,0,1,0,0,0,0,1,0,533,24576000,2653257728,162,2.76,0.06,2.5,89164,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,0,1,0,0,0,0,1,0,825,25755648,711622656,217,3.26,0.06,3.01,89164,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,0,1,0,0,0,0,1,0,307,66650112,3958800384,59,3.86,0.06,2.05,89164,0,0,0,0,0,4096,0,960,0,0,0
1,1,1,0,0,1,1,0,0,0,0,0,533,24576000,2653257728,162,5.72,0.11,2.67,89164,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,0,1,1,0,0,0,0,0,825,25755648,711622656,217,6.63,0.06,3.19,89160,0,0,0,0,0,4096,0,944,0,0,0
1,1,1,0,0,1,1,0,0,0,0,0,307,66650112,3958800384,59,2.88,0.06,2.03,89164,0,0,0,0,0,4096,0,960,0,0,0
